#==============================================================================
# DATASET #0
#==============================================================================
0 0
0.015708 0.0157073
0.0314159 0.0314108
0.0471239 0.0471065
0.0628319 0.0627905
0.0785398 0.0784591
0.0942478 0.0941083
0.109956 0.109734
0.125664 0.125333
0.141372 0.140901
0.15708 0.156434
0.172788 0.171929
0.188496 0.187381
0.204204 0.202787
0.219911 0.218143
0.235619 0.233445
0.251327 0.24869
0.267035 0.263873
0.282743 0.278991
0.298451 0.29404
0.314159 0.309017
0.329867 0.323917
0.345575 0.338738
0.361283 0.353475
0.376991 0.368125
0.392699 0.382683
0.408407 0.397148
0.424115 0.411514
0.439823 0.425779
0.455531 0.439939
0.471239 0.45399
0.486947 0.46793
0.502655 0.481754
0.518363 0.495459
0.534071 0.509041
0.549779 0.522499
0.565487 0.535827
0.581195 0.549023
0.596903 0.562083
0.612611 0.575005
0.628319 0.587785
0.644026 0.60042
0.659734 0.612907
0.675442 0.625243
0.69115 0.637424
0.706858 0.649448
0.722566 0.661312
0.738274 0.673013
0.753982 0.684547
0.76969 0.695913
0.785398 0.707107
0.801106 0.718126
0.816814 0.728969
0.832522 0.739631
0.84823 0.750111
0.863938 0.760406
0.879646 0.770513
0.895354 0.78043
0.911062 0.790155
0.92677 0.799685
0.942478 0.809017
0.958186 0.81815
0.973894 0.827081
0.989602 0.835807
1.00531 0.844328
1.02102 0.85264
1.03673 0.860742
1.05243 0.868632
1.06814 0.876307
1.08385 0.883766
1.09956 0.891007
1.11527 0.898028
1.13097 0.904827
1.14668 0.911403
1.16239 0.917755
1.1781 0.92388
1.19381 0.929776
1.20951 0.935444
1.22522 0.940881
1.24093 0.946085
1.25664 0.951057
1.27235 0.955793
1.28805 0.960294
1.30376 0.964557
1.31947 0.968583
1.33518 0.97237
1.35088 0.975917
1.36659 0.979223
1.3823 0.982287
1.39801 0.985109
1.41372 0.987688
1.42942 0.990024
1.44513 0.992115
1.46084 0.993961
1.47655 0.995562
1.49226 0.996917
1.50796 0.998027
1.52367 0.99889
1.53938 0.999507
1.55509 0.999877
1.5708 1
1.5865 0.999877
1.60221 0.999507
1.61792 0.99889
1.63363 0.998027
1.64934 0.996917
1.66504 0.995562
1.68075 0.993961
1.69646 0.992115
1.71217 0.990024
1.72788 0.987688
1.74358 0.985109
1.75929 0.982287
1.775 0.979223
1.79071 0.975917
1.80642 0.97237
1.82212 0.968583
1.83783 0.964557
1.85354 0.960294
1.86925 0.955793
1.88496 0.951057
1.90066 0.946085
1.91637 0.940881
1.93208 0.935444
1.94779 0.929776
1.9635 0.92388
1.9792 0.917755
1.99491 0.911403
2.01062 0.904827
2.02633 0.898028
2.04204 0.891007
2.05774 0.883766
2.07345 0.876307
2.08916 0.868632
2.10487 0.860742
2.12058 0.85264
2.13628 0.844328
2.15199 0.835807
2.1677 0.827081
2.18341 0.81815
